Institution_Symbol	Item_Holding_Location	Item_Permanent_Shelving_Location	Item_Temporary_Shelving_Location	Item_Type	Item_Call_Number	Item_Enumeration_and_Chronology	Author_Name	Title	LHR_Item_Materials_Specified	Material_Format	OCLC_Number	Title_ISBN	Publication_Date	Item_Barcode	LHR_Item_Cost	LHR_Item_Nonpublic_Note	LHR_Item_Public_Note	Item_Status_Current_Status	Item_Due_Date	Item_Issued_Count	Issued_Count_YTD	Item_Soft_Issued_Count	Item_Soft_Issued_Count_YTD	Item_Last_Issued_Date	Item_Last_Inventoried_Date	Item_Deleted_Date	LHR_Date_Entered_on_File	LHR_Item_Acquired_Date	Language_Code	LHR_Item_Call_Number_Normalized
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Berg, Raisa	Acquired traits : memoirs of a geneticist from the Soviet Union		otr	0			PLEB-712				AVAILABLE		1	0	0	0	2025-06-27					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Carter, Mia (Editor), Harlow, Barbara, 1948-2017	Archives of Empire /		otr	0			PLEB-713				AVAILABLE		1	0	0	0	2025-06-27					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Cole, Teju	Known and Strange Things.		otr	0			PLEB-714				AVAILABLE		0	0	0	0						otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Pérez, Inés	Senderos que se bifurcan : servicio doméstico y derechos laborales en la Argentina del Siglo XX		otr	0			PLEB-715				AVAILABLE		1	0	0	0	2025-06-27					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Solms, Mark	Psychoanalytic Inquiry		otr	0			PLEB-716				AVAILABLE		1	0	0	0	2025-12-09					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Gruchy, Allan	Contemporary economic thought : the contribution of neo-institutional economics		otr	0			PLEB-717				AVAILABLE		1	0	0	0	2025-06-30					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Sudō Hirotoshi	Kōyasan Amida shōju raigōzu : yume miru chikara		otr	0			PLEB-718				AVAILABLE		1	0	0	0	2025-07-02					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Itō Hideo	Kami no rekishi		otr	0			PLEB-719				AVAILABLE		1	0	0	0	2025-07-02					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Lajolo, Marisa	Monteiro Lobato, livro a livro : obra infantil		otr	0			PLEB-72				AVAILABLE		1	0	0	0	2024-08-19					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Satō Tsuneo	Fujiwara Tameie kenkyū		otr	0			PLEB-720				AVAILABLE		1	0	0	0	2025-07-02					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			880-01 Nakano, Genzō, author.	Raigōzu no bijutsu		otr	0			PLEB-721				AVAILABLE		1	0	0	0	2025-07-02					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Chan, Cecilia	Assessment for experiential learning		otr	0			PLEB-723				AVAILABLE		1	0	0	0	2025-07-15					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Tiya Miles	All that she carried : the journey of Ashley's sack, a Black family keepsake		otr	0			PLEB-724				AVAILABLE		1	0	0	0	2025-07-02					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Matheson, Neil	Surrealism and the Gothic : castles of the interior		otr	0			PLEB-725				AVAILABLE		1	0	0	0	2025-07-10					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Michael Shernoff	Without Condoms: Unprotected Sex, Gay Men and Barebacking		otr	0			PLEB-726				AVAILABLE		1	0	0	0	2025-07-03					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Ellis, JJJJJerome	The clearing		otr	0			PLEB-727				AVAILABLE		1	0	0	0	2025-07-10					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Méndez Rodenas, Adriana	Cuba en su imagen : historia e identidad en la literatura cubana		otr	0			PLEB-728				AVAILABLE		1	0	0	0	2025-07-17					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Benton, Lauren	They called it peace : worlds of imperial violence		otr	0			PLEB-729				AVAILABLE		1	0	0	0	2025-07-11					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Spies-Gans, Paris	A revolution on canvas : the rise of women artists in London and Paris, 1760-1830		otr	0			PLEB-73				AVAILABLE		1	0	0	0	2024-08-22					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Red Nation (coalition)	The red deal : Indigenous action to save our Earth		otr	0			PLEB-730				AVAILABLE		1	0	0	0	2025-07-11					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Pard, Chantale	STEM programming for all ages : a practical guide for librarians		otr	0			PLEB-731				AVAILABLE		1	0	0	0	2025-07-11					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Ma, Zhao	Runaway wives, urban crimes, and survival tactics in wartime Beijing, 1937-1949		otr	0			PLEB-732				AVAILABLE		1	0	0	0	2025-07-18					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Cranmer, Skyler	Inferential network analysis		otr	0			PLEB-733				AVAILABLE		1	0	0	0	2025-07-18					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Wölfflin, Heinrich	Classic art : an introduction to the Italian Renaissance		otr	0			PLEB-735				AVAILABLE		1	0	0	0	2025-09-18					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Seligman, Amanda	Block by block : neighborhoods and public policy on Chicago's West Side		otr	0			PLEB-737				AVAILABLE		1	0	0	0	2025-07-15					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Orser, W	Blockbusting in Baltimore : the Edmondson Village Story.		otr	0			PLEB-738				AVAILABLE		1	0	0	0	2025-07-28					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Smith, Danez	Bluff : poems		otr	0			PLEB-739				AVAILABLE		1	0	0	0	2025-07-23					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			DALY, SARAH	Violent Victors Why Bloodstained Parties Win Postwar Elections		otr	0			PLEB-74				AVAILABLE		1	0	0	0	2024-08-22					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Pennington, M	Lectio divina : renewing the ancient practice of praying the Scriptures		otr	0			PLEB-740				AVAILABLE		1	0	0	0	2025-07-23					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Robertson, Duncan	Lectio divina : the medieval experience of reading		otr	0			PLEB-741				AVAILABLE		1	0	0	0	2025-07-23					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Feiss, Hugh	Essential monastic wisdom : writings on the contemplative life		otr	0			PLEB-742				AVAILABLE		1	0	0	0	2025-07-23					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Ginsburg, Rebecca	Critical perspectives on teaching in prison : students and instructors on pedagogy behind the wall		otr	0			PLEB-743				AVAILABLE		0	0	0	0						otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Berger, John	Landscapes : John Berger on art		otr	0			PLEB-744				AVAILABLE		1	0	0	0	2025-07-23					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Berger, John	Photocopies		otr	0			PLEB-745				AVAILABLE		1	0	0	0	2025-07-23					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			McAdam, Doug	Comparative perspectives on social movements : political opportunities, mobilizing structures, and cultural framings		otr	0			PLEB-746				AVAILABLE		0	0	0	0						otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Brulin, Göran	Managing sustainable development programmes : a learning approach to change		otr	0			PLEB-747				AVAILABLE		1	0	0	0	2025-07-21					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Srinivas, Tulasi	Wonder in South Asia : histories, aesthetics, ethics		otr	0			PLEB-748				AVAILABLE		1	0	0	0	2025-07-22					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Balaska, Maria	Anxiety and Wonder  : On Being Human.		otr	0			PLEB-749				AVAILABLE		1	0	0	0	2025-07-22					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Curry, Patrick	ART AND ENCHANTMENT  : how wonder works.		otr	0			PLEB-750				AVAILABLE		1	0	0	0	2025-07-18					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			White, Viola	Vermont diary.		otr	0			PLEB-751				AVAILABLE		1	0	0	0	2025-07-23					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Irwin, Douglas	Clashing over commerce : a history of US trade policy		otr	0			PLEB-752				AVAILABLE		1	0	0	0	2025-07-29					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Mangiron, Carmen	Fun for all : translation and accessibility practices in video games		otr	0			PLEB-753				AVAILABLE		1	0	0	0	2025-07-22					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Torner, Evan	Immersive gameplay : essays on participatory media and role-playing		otr	0			PLEB-754				AVAILABLE		1	0	0	0	2025-07-22					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Hartley, Hal	Flirt		otr	0			PLEB-755				AVAILABLE		1	0	0	0	2025-07-31					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Huskinson, Janet	Experiencing Rome : Culture, Identity and Power in the Roman Empire.		otr	0			PLEB-756				AVAILABLE		1	0	0	0	2025-07-24					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Harrington, Michael	The next America : the decline and rise of the United States		otr	0			PLEB-757				AVAILABLE		1	0	0	0	2025-07-23					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Leibniz, Gottfried	The Leibniz-De Volder correspondence : with selections from the correspondence between Leibniz and Johann Bernoulli		otr	0			PLEB-758				AVAILABLE		1	0	0	0	2025-07-18					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Wolf, Siegfried	Politics in South Asia : culture, rationality and conceptual flow		otr	0			PLEB-759				AVAILABLE		1	0	0	0	2025-07-29					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Kasturi, Leela	Women and Indian nationalism		otr	0			PLEB-76				AVAILABLE		1	0	0	0	2024-08-23					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Mills, Nicolaus	50 years of Dissent		otr	0			PLEB-760				AVAILABLE		1	0	0	0	2025-07-22					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Taft, Robert	Comparative liturgy fifth years after Anton Baumstark (1872-1948) : acts of the International Congress, Rome, 25-29 septembre 1998		otr	0			PLEB-761				AVAILABLE		1	0	0	0	2025-07-30					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Richards, Akilah	Raising free people : unschooling as liberation and healing work		otr	0			PLEB-762				AVAILABLE		1	0	0	0	2025-08-05					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Love, Bettina	We want to do more than survive : abolitionist teaching and the pursuit of educational freedom		otr	0			PLEB-763				AVAILABLE		1	0	0	0	2025-08-05					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Dorrien,	The Making of American Liberal Theology 1805-1900.		otr	0			PLEB-764				AVAILABLE		1	0	0	0	2025-07-29					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Dorrien, Gary	The making of American liberal theology   2, Idealism, realism, and modernity : 1900-1950.		otr	0			PLEB-765				AVAILABLE		1	0	0	0	2025-07-29					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Gary, J	The making of American liberal theology: v.3 crisis, irony, and postmodernity 1950-2005. v.1 imagining progressive religion, 1805-1900.		otr	0			PLEB-766				AVAILABLE		1	0	0	0	2025-07-22					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Menczer, Filippo	A first course in network science		otr	0			PLEB-767				AVAILABLE		1	0	0	0	2025-07-29					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Sutton, Barbara	Bulletproof fashion : security, emotions, and the fortress body		otr	0			PLEB-768				AVAILABLE		1	0	0	0	2025-07-23					otr	
